InstitutionName	City	State	HighestDegree	Type	Region	ReligAffil	Urbanization	Urban	Tuition	SatAvg	MeanEarnings10Years	NumUndergrads	PctMale	PctFemale	MedHHInc	PctLowIncome	PctFedLoan	AttendanceCost	AvgFacSal	CompletionRate	NumGradStudents	ExpenditurePerStudent	AdmitRate	MedianDebt	TuitionCat	SatAvgCat	MeanEarnings10YearsCat	NumUndergradsCat	PctMaleCat	PctFemaleCat	MedHHIncCat	PctLowIncomeCat	PctFedLoanCat	AttendanceCostCat	AvgFacSalCat	CompletionRateCat	NumGradStudentsCat	ExpenditurePerStudentCat	AdmitRateCat	MedianDebtCat
University of Southern Mississippi	Hattiesburg	MS	Graduate	Public	Southeast	No	SmallCity	City	6573	1120	42700	11834	36.88	63.12	46990.98	51.66695457	67.97	22281	7711	0.487	2589	8618	0.9788	23750	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	3.High	2.Medium	3.High	2.Medium
University of St Francis	Joliet	IL	Graduate	Private.NonProfit	Midwest	Yes	Suburb.LgCity	Suburb	13217	1129	56500	1590	33.52	66.48	76865.85	27.43732591	68.12	40305	7825	0.6182	2298	5834	0.4678	23740	2.Medium	2.Medium	3.High	2.Medium	1.Low	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	1.Low	1.Low	2.Medium
University of St Thomas (MN)	Saint Paul	MN	Graduate	Private.NonProfit	Midwest	Yes	LargeCity	City	19793	1269	62900	6344	53.25	46.75	76939.14	16.11617312	53.6	52824	10549	0.7727	3640	14228	0.8039	24748	3.High	3.High	3.High	3.High	3.High	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	3.High	3.High	3.High	2.Medium
University of St Thomas (TX)	Houston	TX	Graduate	Private.NonProfit	Southwest	Yes	LargeCity	City	16842	1159	59600	1909	37.19	62.81	71790.89	41.44736842	41.72	43207	7607	0.566	1245	12838	0.8224	22250	3.High	2.Medium	3.High	2.Medium	1.Low	3.High	3.High	3.High	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	3.High	3.High	2.Medium
University of the Cumberlands	Williamsburg	KY	Graduate	Private.NonProfit	Southeast	Yes	Town.Remote	Town	9038	1141	38200	2408	42.69	57.31	44968.88	40.13761468	67.99	35748	5193	0.3268	10210	3386	0.733	17082	1.Low	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	2.Medium	2.Medium	1.Low	1.Low	3.High	1.Low	2.Medium	1.Low
University of the Incarnate Word	San Antonio	TX	Graduate	Private.NonProfit	Southwest	Yes	LargeCity	City	17636	1044	52500	5312	39.82	60.18	59715.43	38.88288288	89.37	41978	8311	0.4877	2705	8961	0.8794	27666	3.High	1.Low	2.Medium	3.High	1.Low	3.High	2.Medium	3.High	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	3.High	3.High
University of the Pacific	Stockton	CA	Graduate	Private.NonProfit	West	No	LargeCity	City	32936	1240	84200	3665	47.48	52.52	72621.06	35.13097072	57.09	60487	10587	0.7309	2792	20858	0.6348	20500	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	2.Medium	3.High	3.High	3.High	3.High	3.High	2.Medium	1.Low
University of the Sciences	Philadelphia	PA	Graduate	Private.NonProfit	Northeast	No	LargeCity	City	27115	1221	92400	1225	36.16	63.84	72732.06	21.76470588	67.9	58113	8052	0.7656	1000	15538	0.6327	27000	3.High	3.High	3.High	1.Low	1.Low	3.High	3.High	1.Low	2.Medium	3.High	2.Medium	3.High	2.Medium	3.High	2.Medium	3.High
University of Toledo	Toledo	OH	Graduate	Public	Midwest	No	LargeCity	City	10533	1145	52800	14893	51.82	48.18	60626.38	33.48409468	57.74	23625	8943	0.468	4172	13378	0.9365	23000	2.Medium	2.Medium	2.Medium	3.High	3.High	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low	3.High	3.High	3.High	2.Medium
University of Tulsa	Tulsa	OK	Graduate	Private.NonProfit	Southwest	Yes	LargeCity	City	19087	1321	60500	3246	55.24	44.76	62928.78	29.47232947	36.94	56906	10564	0.7374	1098	17043	0.4077	23250	3.High	3.High	3.High	2.Medium	3.High	1.Low	2.Medium	2.Medium	1.Low	3.High	3.High	3.High	2.Medium	3.High	1.Low	2.Medium
