InstitutionName	City	State	HighestDegree	Type	Region	ReligAffil	Urbanization	Urban	Tuition	SatAvg	MeanEarnings10Years	NumUndergrads	PctMale	PctFemale	MedHHInc	PctLowIncome	PctFedLoan	AttendanceCost	AvgFacSal	CompletionRate	NumGradStudents	ExpenditurePerStudent	AdmitRate	MedianDebt	TuitionCat	SatAvgCat	MeanEarnings10YearsCat	NumUndergradsCat	PctMaleCat	PctFemaleCat	MedHHIncCat	PctLowIncomeCat	PctFedLoanCat	AttendanceCostCat	AvgFacSalCat	CompletionRateCat	NumGradStudentsCat	ExpenditurePerStudentCat	AdmitRateCat	MedianDebtCat
Crown College	Saint Bonifacius	MN	Graduate	Private.NonProfit	Midwest	Yes	Rural.Fringe	Rural	12245	1078	40100	844	49.53	50.47	68899.21	31.49284254	82.17	38950	4993	0.5235	358	3215	0.5507	25400	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	1.Low	1.Low	2.Medium
Culver-Stockton College	Canton	MO	Graduate	Private.NonProfit	Midwest	Yes	Rural.Remote	Rural	10679	1058	40100	975	51.18	48.82	52894.01	30.36912752	85.57	38546	5828	0.5	46	4702	0.464	26000	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	2.Medium	3.High	2.Medium	1.Low	2.Medium	1.Low	1.Low	1.Low	3.High
Cumberland University	Lebanon	TN	Graduate	Private.NonProfit	Southeast	No	Town.Fringe	Town	7605	1082	43000	1785	43.87	56.13	59163.95	36.34053367	30.07	35611	5643	0.4292	312	3943	0.6166	23000	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low	1.Low	2.Medium	1.Low	2.Medium	2.Medium
CUNY Bernard M Baruch College	New York	NY	Graduate	Public	Northeast	No	LargeCity	City	6734	1305	63600	14629	52.44	47.56	53216.18	66.65468918	6.19	14046	13295	0.6874	3005	10250	0.3929	11500	1.Low	3.High	3.High	3.High	3.High	1.Low	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	2.Medium	1.Low	1.Low
CUNY Brooklyn College	Brooklyn	NY	Graduate	Public	Northeast	No	LargeCity	City	3966	1150	48800	13954	43.39	56.61	49392.3	68.46564167	5.12	13991	11455	0.5807	3183	9894	0.4426	11819	1.Low	2.Medium	2.Medium	3.High	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	1.Low
CUNY City College	New York	NY	Graduate	Public	Northeast	No	LargeCity	City	4047	1155	50900	12503	48.23	51.77	48071.31	67.93091168	7.19	14430	12469	0.5532	2857	17363	0.4827	12500	1.Low	2.Medium	2.Medium	3.High	3.High	1.Low	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	3.High	3.High	1.Low	1.Low
CUNY Hunter College	New York	NY	Graduate	Public	Northeast	No	LargeCity	City	5549	1240	51800	16205	34.96	65.04	55390.45	62.99444263	4.46	13998	12004	0.5619	5990	10179	0.3642	12500	1.Low	3.High	2.Medium	3.High	1.Low	3.High	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	1.Low
CUNY John Jay College of Criminal Justice	New York	NY	Graduate	Public	Northeast	No	LargeCity	City	3804	1060	50000	12852	41.08	58.92	51361.88	66.20570441	6.99	14177	11182	0.4643	2075	11893	0.4058	10500	1.Low	1.Low	2.Medium	3.High	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low
CUNY Lehman College	Bronx	NY	Graduate	Public	Northeast	No	LargeCity	City	3823	1045	47500	11559	32.41	67.59	41652.24	70.47881502	5.98	14359	10664	0.4897	2148	11436	0.3967	10500	1.Low	1.Low	2.Medium	3.High	1.Low	3.High	1.Low	3.High	1.Low	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low
CUNY Queens College	Queens	NY	Graduate	Public	Northeast	No	LargeCity	City	4757	1140	52900	15645	46.28	53.72	63917.39	65.83987441	6.1	14281	11170	0.5536	3126	9699	0.4765	12000	1.Low	2.Medium	2.Medium	3.High	2.Medium	2.Medium	2.Medium	3.High	1.Low	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	1.Low
CUNY York College	Jamaica	NY	Graduate	Public	Northeast	No	LargeCity	City	3108	970	45300	7126	34.58	65.42	55168.11	66.85510265	3.13	14204	10633	0.3012	198	10090	0.5276	9913	1.Low	1.Low	2.Medium	3.High	1.Low	3.High	1.Low	3.High	1.Low	1.Low	3.High	1.Low	1.Low	2.Medium	1.Low	1.Low
Curry College	Milton	MA	Graduate	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	19414	1026	51100	2342	41.89	58.11	77762.42	24.52692868	80.03	54643	10005	0.5308	222	12491	0.9271	26000	3.High	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	3.High	1.Low	3.High	3.High	3.High	2.Medium	2.Medium	3.High	3.High	3.High
D'Youville College	Buffalo	NY	Graduate	Private.NonProfit	Northeast	No	LargeCity	City	20191	1072	51700	1620	26.17	73.83	52394.78	36.57407407	60.51	37752	6973	0.5971	1346	11563	0.996	25842	3.High	1.Low	2.Medium	2.Medium	1.Low	3.High	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	3.High	3.High	3.High
Dakota State University	Madison	SD	Graduate	Public	Midwest	No	Town.Distant	Town	7485	1145	43100	2051	66.02	33.98	52093.19	30.29259897	73.33	21091	7906	0.4688	389	9133	0.8324	24957	1.Low	2.Medium	1.Low	2.Medium	3.High	1.Low	1.Low	2.Medium	3.High	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium
Dakota Wesleyan University	Mitchell	SD	Graduate	Private.NonProfit	Midwest	Yes	Town.Remote	Town	11013	1095	40900	743	42.93	57.07	47601.81	19.30894309	87.88	38272	5872	0.5989	140	5655	0.7355	27000	2.Medium	2.Medium	1.Low	1.Low	2.Medium	2.Medium	1.Low	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	1.Low	2.Medium	3.High
Dallas Baptist University	Dallas	TX	Graduate	Private.NonProfit	Southwest	Yes	LargeCity	City	18579	1145	49200	2931	41.49	58.51	71641.68	35.65543071	46.1	39278	8253	0.5287	1752	9843	0.8807	22250	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	3.High	2.Medium	3.High	2.Medium
Dallas Christian College	Dallas	TX	Graduate	Private.NonProfit	Southwest	Yes	Suburb.LgCity	Suburb	14830	1012	45500	212	60.38	39.62	69721.15	38.95348837	82.61	31889	4619	0.2128	1	6922	0.287	27427	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	3.High	3.High	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	3.High
Dartmouth College	Hanover	NH	Graduate	Private.NonProfit	Northeast	No	Town.Remote	Town	32303	1488	110200	4312	50.86	49.14	79834.73	28.45188285	24.36	71827	15278	0.9516	2154	27978	0.0874	12500	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	3.High	1.Low	1.Low
Davidson College	Davidson	NC	Bachelors	Private.NonProfit	Southeast	Yes	Suburb.LgCity	Suburb	21158	1392	71100	1839	51.88	48.12	76036.21	22.9226361	19.85	66678	11547	0.8957	0	20597	0.195	18519	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	1.Low	3.High	1.Low	1.Low
Davis & Elkins College	Elkins	WV	Bachelors	Private.NonProfit	Southeast	Yes	Town.Remote	Town	9829	1005	40200	756	40.34	59.66	46441.47	41.39433551	80.08	40551	5680	0.4123	0	7880	0.3695	24977	1.Low	1.Low	1.Low	1.Low	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	1.Low	1.Low	1.Low	2.Medium	1.Low	2.Medium
Dean College	Franklin	MA	Bachelors	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	18069	1018	38100	1275	48.55	51.45	79806.03	32.24299065	81.72	55778	6487	0.3903	0	8542	0.8286	20000	3.High	1.Low	1.Low	1.Low	3.High	1.Low	3.High	2.Medium	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	3.High	1.Low
Defiance College	Defiance	OH	Graduate	Private.NonProfit	Midwest	Yes	Town.Distant	Town	15894	1013	46500	520	53.46	46.54	61079.24	26.23376623	86.75	45340	5919	0.3856	23	8782	0.524	27000	3.High	1.Low	2.Medium	1.Low	3.High	1.Low	2.Medium	1.Low	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High
Delaware State University	Dover	DE	Graduate	Public	Northeast	No	SmallCity	City	7292	938	38400	3835	33.9	66.1	60801.87	39.38404106	75.32	22627	8272	0.4008	378	12256	0.4917	27000	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	2.Medium	3.High	3.High	1.Low	2.Medium	1.Low	2.Medium	3.High	1.Low	3.High
Delaware Valley University	Doylestown	PA	Graduate	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	17309	1080	44700	1884	40.45	59.55	74767.83	26.10261026	88.59	53667	8377	0.5293	446	8748	0.6566	25000	3.High	1.Low	1.Low	2.Medium	2.Medium	2.Medium	3.High	1.Low	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium
Delta State University	Cleveland	MS	Graduate	Public	Southeast	No	Town.Remote	Town	4787	1084	37600	2269	43.54	56.46	39124.62	55.74144487	64.78	19306	6490	0.3852	640	6184	0.8519	21462	1.Low	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low
Denison University	Granville	OH	Bachelors	Private.NonProfit	Midwest	No	Suburb.SmallCity	Suburb	18193	1323	57600	2368	45.52	54.48	76349.35	20.25316456	43.27	64935	9242	0.8458	0	18323	0.3391	25000	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	3.High	1.Low	1.Low	3.High	3.High	3.High	1.Low	3.High	1.Low	2.Medium
DePauw University	Greencastle	IN	Bachelors	Private.NonProfit	Midwest	No	Town.Distant	Town	17704	1239	66100	2141	47.31	52.69	72050.75	16.96574225	42.02	62567	9659	0.8529	0	21661	0.626	26000	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	1.Low	3.High	2.Medium	3.High
DeSales University	Center Valley	PA	Graduate	Private.NonProfit	Northeast	Yes	Suburb.LgCity	Suburb	16062	1134	54700	2449	36.26	63.74	69394.59	27.34693878	73.16	50498	7843	0.7095	939	9302	0.7853	25463	3.High	2.Medium	3.High	2.Medium	1.Low	3.High	3.High	2.Medium	3.High	3.High	2.Medium	3.High	2.Medium	2.Medium	3.High	2.Medium
Dickinson State University	Dickinson	ND	Bachelors	Public	Midwest	No	Town.Remote	Town	6080	1065	49300	1114	40.66	59.34	46555.21	26.36054422	50.26	15506	6571	0.3439	17	13390	0.6642	18050	1.Low	1.Low	2.Medium	1.Low	2.Medium	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	3.High	2.Medium	1.Low
DigiPen Institute of Technology	Redmond	WA	Graduate	Private.ForProfit	West	No	SmallCity	City	24187	1282	82400	873	76.4	23.6	70283.94	29.15531335	63.11	44088	9030	0.4655	96	9777	0.5665	27000	3.High	3.High	3.High	1.Low	3.High	1.Low	3.High	2.Medium	2.Medium	3.High	3.High	1.Low	1.Low	2.Medium	1.Low	3.High
Dominican College of Blauvelt	Orangeburg	NY	Graduate	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	18100	1038	52500	1433	33.98	66.02	77440.46	35.80786026	75.98	40926	8455	0.4266	506	7807	0.7677	25000	3.High	1.Low	2.Medium	1.Low	1.Low	3.High	3.High	2.Medium	3.High	2.Medium	2.Medium	1.Low	2.Medium	1.Low	2.Medium	2.Medium
Dominican University	River Forest	IL	Graduate	Private.NonProfit	Midwest	Yes	Suburb.LgCity	Suburb	17732	1064	49900	2098	31.6	68.4	69994.18	37.30984788	71.88	41118	8205	0.6148	884	11578	0.6379	26000	3.High	1.Low	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	3.High	2.Medium	2.Medium	2.Medium	2.Medium	3.High	2.Medium	3.High
Dominican University of California	San Rafael	CA	Graduate	Private.NonProfit	West	No	SmallCity	City	24774	1126	63600	1264	24.37	75.63	79219.91	23.10606061	64.32	63875	8662	0.717	424	17384	0.8717	27000	3.High	2.Medium	3.High	1.Low	1.Low	3.High	3.High	1.Low	2.Medium	3.High	2.Medium	3.High	2.Medium	3.High	3.High	3.High
Dordt University	Sioux Center	IA	Graduate	Private.NonProfit	Midwest	Yes	Town.Remote	Town	14809	1219	45300	1346	54.16	45.84	61155.28	12.18637993	60.2	43391	6600	0.7307	140	9802	0.7316	23250	2.Medium	3.High	2.Medium	1.Low	3.High	1.Low	2.Medium	1.Low	2.Medium	2.Medium	1.Low	3.High	1.Low	2.Medium	2.Medium	2.Medium
Drake University	Des Moines	IA	Graduate	Private.NonProfit	Midwest	No	MidCity	City	21160	1278	68700	2952	41.8	58.2	70375.31	15.33101045	55.28	53507	9507	0.7837	1854	12682	0.6766	23823	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	3.High	1.Low	2.Medium	3.High	3.High	3.High	3.High	3.High	2.Medium	2.Medium
Drexel University	Philadelphia	PA	Graduate	Private.NonProfit	Northeast	No	LargeCity	City	27607	1281	78000	15557	51.71	48.29	74533.27	30.6383792	60.68	66841	11064	0.7356	8910	17368	0.7694	26000	3.High	3.High	3.High	3.High	3.High	1.Low	3.High	2.Medium	2.Medium	3.High	3.High	3.High	3.High	3.High	3.High	3.High
Drury University	Springfield	MO	Graduate	Private.NonProfit	Midwest	Yes	MidCity	City	11495	1227	36200	1486	42.53	57.47	45736.92	46.27949183	59.31	38330	6629	0.6399	240	8332	0.6824	22000	2.Medium	3.High	1.Low	1.Low	2.Medium	2.Medium	1.Low	3.High	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium
Duke University	Durham	NC	Graduate	Private.NonProfit	Southeast	Yes	LargeCity	City	30002	1516	114500	6596	49.83	50.17	78468.48	28.8680509	20.59	72466	16170	0.9562	9924	67569	0.0891	11500	3.High	3.High	3.High	3.High	3.High	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	3.High	1.Low	1.Low
Duquesne University	Pittsburgh	PA	Graduate	Private.NonProfit	Northeast	Yes	LargeCity	City	22779	1229	68200	6008	36.43	63.57	61274.66	18.66306028	74.39	51678	9376	0.7997	3261	12029	0.7185	27000	3.High	3.High	3.High	3.High	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	3.High	3.High	2.Medium	3.High
Earlham College	Richmond	IN	Graduate	Private.NonProfit	Midwest	Yes	Town.Distant	Town	11586	1294	39200	1025	45.76	54.24	66410.88	25.53763441	62.72	58618	6431	0.6386	54	23555	0.6522	24383	2.Medium	3.High	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	3.High	1.Low	2.Medium	1.Low	3.High	2.Medium	2.Medium
East Carolina University	Greenville	NC	Graduate	Public	Southeast	No	SmallCity	City	7523	1124	45800	22330	43.55	56.45	57608.05	30.60217177	65.35	21950	8629	0.6452	5647	11305	0.822	24250	1.Low	2.Medium	2.Medium	3.High	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	3.High	3.High	3.High	2.Medium
East Central University	Ada	OK	Graduate	Public	Southwest	No	Town.Remote	Town	5914	1062	42200	2725	40.37	59.63	40365.08	41.83740912	37.22	15942	5764	0.3483	635	7832	0.8264	18500	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	1.Low	1.Low	2.Medium	2.Medium	3.High	1.Low
East Stroudsburg University of Pennsylvania	East Stroudsburg	PA	Graduate	Public	Northeast	No	SmallCity	City	8383	1029	47200	5599	43.85	56.15	69357.81	33.75649163	77.89	21851	9533	0.498	712	6560	0.8156	23250	1.Low	1.Low	2.Medium	3.High	2.Medium	2.Medium	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium
East Tennessee State University	Johnson City	TN	Graduate	Public	Southeast	No	SmallCity	City	8802	1167	40600	10760	42.6	57.4	47640.99	44.18062328	48.06	19897	7304	0.4472	3049	12489	0.8713	20785	1.Low	2.Medium	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	2.Medium	1.Low	3.High	3.High	3.High	1.Low
East Texas Baptist University	Marshall	TX	Graduate	Private.NonProfit	Southwest	Yes	Town.Distant	Town	12240	1051	43600	1401	46.18	53.82	56363.11	33.25031133	77.8	37577	6947	0.3457	128	6945	0.5449	25590	2.Medium	1.Low	1.Low	1.Low	2.Medium	2.Medium	1.Low	2.Medium	3.High	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	3.High
Eastern Illinois University	Charleston	IL	Graduate	Public	Midwest	No	Town.Distant	Town	4340	1022	46000	4631	40.66	59.34	66452.23	39.42463533	68.08	23259	8379	0.5849	1514	18251	0.5531	22500	1.Low	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	3.High	3.High	1.Low	2.Medium
Eastern Kentucky University	Richmond	KY	Graduate	Public	Southeast	No	Town.Distant	Town	6856	1147	39300	12246	42.75	57.25	47617.36	40.42487685	61.72	22396	7122	0.4678	2417	8212	0.8729	23000	1.Low	2.Medium	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	3.High	2.Medium	3.High	2.Medium
Eastern Mennonite University	Harrisonburg	VA	Graduate	Private.NonProfit	Southeast	Yes	SmallCity	City	16768	1144	44700	1030	36.41	63.59	59648.45	25.17857143	72.49	47688	5967	0.5991	404	11711	0.592	21910	3.High	2.Medium	1.Low	1.Low	1.Low	3.High	2.Medium	1.Low	3.High	3.High	1.Low	2.Medium	2.Medium	3.High	1.Low	1.Low
Eastern Michigan University	Ypsilanti	MI	Graduate	Public	Midwest	No	Suburb.LgCity	Suburb	10638	1025	43900	15325	39.86	60.14	69989	42.05594785	59.33	23662	9744	0.4511	3101	7458	0.757	26000	2.Medium	1.Low	1.Low	3.High	1.Low	3.High	3.High	3.High	2.Medium	1.Low	3.High	1.Low	3.High	1.Low	2.Medium	3.High
Eastern Nazarene College	Quincy	MA	Graduate	Private.NonProfit	Northeast	Yes	Suburb.LgCity	Suburb	9620	1054	46100	658	46.66	53.34	69305.79	32.05479452	79.08	43845	5684	0.456	188	6033	0.6368	26000	1.Low	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium	3.High	3.High	1.Low	1.Low	1.Low	1.Low	2.Medium	3.High
Eastern New Mexico University-Main Campus	Portales	NM	Graduate	Public	Southwest	No	Town.Remote	Town	4462	1020	34800	3347	41.95	58.05	42974.58	50.5229284	42.22	17330	6959	0.3462	1305	5533	0.6038	15850	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	1.Low	1.Low	2.Medium	1.Low	2.Medium	1.Low
Eastern Oregon University	La Grande	OR	Graduate	Public	West	No	Town.Remote	Town	7197	1045	44100	2587	40.01	59.99	52895.14	46.70528602	57.32	21270	7251	0.3255	234	7013	0.9813	20917	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low
Eastern University	Saint Davids	PA	Graduate	Private.NonProfit	Northeast	Yes	Suburb.LgCity	Suburb	11737	1108	48100	1844	32.32	67.68	68457.57	41.84738956	76.18	46849	6342	0.6063	1371	7440	0.6843	26661	2.Medium	2.Medium	2.Medium	2.Medium	1.Low	3.High	2.Medium	3.High	3.High	3.High	1.Low	2.Medium	3.High	1.Low	2.Medium	3.High
Eastern Washington University	Cheney	WA	Graduate	Public	West	No	Town.Fringe	Town	7217	991	46700	10379	46.83	53.17	56952.77	40.36412078	55.23	19450	8875	0.4409	1225	7633	0.6342	21000	1.Low	1.Low	2.Medium	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	3.High	1.Low	2.Medium	1.Low	2.Medium	1.Low
Eckerd College	Saint Petersburg	FL	Bachelors	Private.NonProfit	Southeast	Yes	LargeCity	City	23475	1205	46700	1987	33.67	66.33	68211.73	20.50632911	55.2	59005	7937	0.6799	0	14007	0.6766	26407	3.High	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	3.High
Edgewood College	Madison	WI	Graduate	Private.NonProfit	Midwest	Yes	LargeCity	City	19262	1133	47600	1435	26.27	73.73	68115.77	25.72944297	70.82	41916	6200	0.6324	702	10030	0.7288	25000	3.High	2.Medium	2.Medium	1.Low	1.Low	3.High	2.Medium	1.Low	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium
Edinboro University of Pennsylvania	Edinboro	PA	Graduate	Public	Northeast	No	Town.Fringe	Town	8616	1050	38100	3498	42.31	57.69	52799.06	34.24242424	77.28	22092	9907	0.4476	1262	9310	0.8	26875	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	3.High	1.Low	3.High	1.Low	2.Medium	2.Medium	3.High	3.High
Edward Waters College	Jacksonville	FL	Bachelors	Private.NonProfit	Southeast	Yes	LargeCity	City	5277	931	28700	968	53.41	46.59	47937.99	67.89617486	75.2	24933	5160	0.2009	0	2917	0.5554	31000	1.Low	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	3.High	3.High	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	3.High
Elizabeth City State University	Elizabeth City	NC	Graduate	Public	Southeast	No	Town.Distant	Town	3124	974	32200	1553	42.24	57.76	47337.89	58.61538462	63.34	14934	7552	0.4245	41	13195	0.5929	26590	1.Low	1.Low	1.Low	1.Low	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	1.Low	3.High	1.Low	3.High
Elizabethtown College	Elizabethtown	PA	Graduate	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	20368	1185	55000	1602	38.51	61.49	70213.56	16.42857143	74.88	57983	8853	0.7271	54	14411	0.7572	27000	3.High	3.High	3.High	2.Medium	1.Low	3.High	3.High	1.Low	3.High	3.High	3.High	3.High	1.Low	3.High	2.Medium	3.High
Elmhurst College	Elmhurst	IL	Graduate	Private.NonProfit	Midwest	Yes	Suburb.LgCity	Suburb	16568	1113	51600	2799	39.34	60.66	80672.5	32.11944647	71.43	46130	7950	0.6339	578	7863	0.6736	20500	3.High	2.Medium	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	1.Low
Elon University	Elon	NC	Graduate	Private.NonProfit	Southeast	No	Suburb.MedCity	Suburb	29073	1265	58700	6196	40.2	59.8	81102.4	14.693172	33.06	49493	9270	0.8251	795	17816	0.7214	21500	3.High	3.High	3.High	3.High	1.Low	2.Medium	3.High	1.Low	1.Low	3.High	3.High	3.High	2.Medium	3.High	2.Medium	1.Low
Emerson College	Boston	MA	Graduate	Private.NonProfit	Northeast	No	LargeCity	City	30703	1307	51200	3817	39.9	60.1	80699.66	19.36236392	51.34	65124	10202	0.7875	718	12822	0.3564	23250	3.High	3.High	2.Medium	2.Medium	1.Low	3.High	3.High	1.Low	1.Low	3.High	3.High	3.High	2.Medium	3.High	1.Low	2.Medium
Emmanuel College (GA)	Franklin Springs	GA	Bachelors	Private.NonProfit	Southeast	Yes	Town.Distant	Town	10579	1033	35400	788	52.54	47.46	50422.48	34.15132924	66.16	30055	4977	0.4271	0	4693	0.4197	25100	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	2.Medium
Emmanuel College (MA)	Boston	MA	Graduate	Private.NonProfit	Northeast	Yes	LargeCity	City	16706	1195	54400	1976	25	75	75156.98	18.22660099	74.89	55739	9049	0.6564	120	8469	0.77	27000	3.High	3.High	3.High	2.Medium	1.Low	3.High	3.High	1.Low	3.High	3.High	3.High	3.High	1.Low	2.Medium	3.High	3.High
Emmaus Bible College	Dubuque	IA	Bachelors	Private.NonProfit	Midwest	Yes	SmallCity	City	8058	1120	36800	233	44.64	55.36	63394.45	25.42372881	48.33	27602	4078	0.7561	0	5780	0.9492	15150	1.Low	2.Medium	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	1.Low
Emory & Henry College	Emory	VA	Graduate	Private.NonProfit	Southeast	Yes	Rural.Fringe	Rural	15007	1075	45000	964	47.61	52.39	53554.3	26.97841727	78.26	47025	6938	0.5984	267	13204	0.6952	27000	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	1.Low	2.Medium	3.High	3.High	1.Low	2.Medium	2.Medium	3.High	2.Medium	3.High
Emory University	Atlanta	GA	Graduate	Private.NonProfit	Southeast	Yes	LargeCity	City	27038	1449	84400	6975	39.99	60.01	80509.92	27.93414764	31.2	66950	14486	0.9012	7372	50241	0.1852	18000	3.High	3.High	3.High	3.High	1.Low	3.High	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	3.High	1.Low	1.Low
Emporia State University	Emporia	KS	Graduate	Public	Midwest	No	Town.Remote	Town	7027	1118	40300	3447	37.51	62.49	56675.47	30.55040198	75.17	18358	6835	0.4526	2227	7584	0.8532	19590	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	2.Medium	3.High	1.Low	1.Low	1.Low	3.High	1.Low	3.High	1.Low
Erskine College	Due West	SC	Graduate	Private.NonProfit	Southeast	Yes	Rural.Distant	Rural	8741	1047	41500	572	55.94	44.06	57374.47	26.24671916	72.11	51998	4784	0.6058	121	6716	0.5824	27000	1.Low	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	1.Low	3.High	3.High	1.Low	2.Medium	1.Low	1.Low	1.Low	3.High
Eureka College	Eureka	IL	Bachelors	Private.NonProfit	Midwest	Yes	Town.Fringe	Town	13367	1067	40500	557	52.42	47.58	63161.33	27.20403023	80.19	35575	5679	0.5385	0	6680	0.5728	25000	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	1.Low	1.Low	1.Low	2.Medium
Fairmont State University	Fairmont	WV	Graduate	Public	Southeast	No	Town.Distant	Town	3711	1048	38400	3540	43.5	56.5	42179.08	37.56962025	57.75	16864	6430	0.3625	273	6833	0.9477	22250	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	2.Medium
Faith Baptist Bible College and Theological Seminary	Ankeny	IA	Graduate	Private.NonProfit	Midwest	Yes	Suburb.LgCity	Suburb	7319	1101	38700	261	45.59	54.41	57604.15	26.8907563	41.05	27873	5086	0.5072	60	6198	0.6229	11000	1.Low	2.Medium	1.Low	1.Low	2.Medium	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low	1.Low	2.Medium	1.Low
